Parameter,Category,Fraction,Count
params_cnn1d_activation_0,elu,0.3,3
params_cnn1d_activation_0,sigmoid,0.3,3
params_cnn1d_activation_0,swish,0.2,2
params_cnn1d_activation_0,relu,0.2,2
params_cnn1d_activation_1,relu,0.2857142857142857,2
params_cnn1d_activation_1,leaky_relu,0.2857142857142857,2
params_cnn1d_activation_1,tanh,0.14285714285714285,1
params_cnn1d_activation_1,elu,0.14285714285714285,1
params_cnn1d_activation_1,swish,0.14285714285714285,1
params_cnn1d_activation_2,relu,0.5,1
params_cnn1d_activation_2,leaky_relu,0.5,1
params_cnn1d_activation_3,tanh,1.0,1
params_cnn1d_use_batch_norm_1,False,0.8571428571428571,6
params_cnn1d_use_batch_norm_1,True,0.14285714285714285,1
params_cnn1d_use_batch_norm_2,True,0.5,1
params_cnn1d_use_batch_norm_2,False,0.5,1
params_cnn1d_use_batch_norm_3,False,1.0,1
params_dense_1_activation,swish,0.5555555555555556,5
params_dense_1_activation,elu,0.2222222222222222,2
params_dense_1_activation,sigmoid,0.1111111111111111,1
params_dense_1_activation,leaky_relu,0.1111111111111111,1
params_dense_2_activation,relu,0.42857142857142855,3
params_dense_2_activation,swish,0.2857142857142857,2
params_dense_2_activation,tanh,0.14285714285714285,1
params_dense_2_activation,elu,0.14285714285714285,1
params_dense_3_activation,elu,0.5,2
params_dense_3_activation,relu,0.25,1
params_dense_3_activation,swish,0.25,1
params_optimizer,AdamW,1.0,10
params_scaler,StandardScaler,0.5,5
params_scaler,MinMaxScaler_0_1,0.3,3
params_scaler,MinMaxScaler_-1_1,0.2,2
